WARNING: --max-time is deprecated, use --time instead
sysbench 1.0.11 (using system LuaJIT 2.1.0-beta3)

Running the test with following options:
Number of threads: 200
Report intermediate results every 3 second(s)
Initializing random number generator from current time

Forcing shutdown in 1801 seconds

Initializing worker threads...

Threads started!

[ 3s ] thds: 200 tps: 44.63 qps: 410.34 (r/w/o: 0.00/254.46/155.87) lat (ms,95%): 2493.86 err/s: 0.00 reconn/s: 0.00
[ 6s ] thds: 200 tps: 15.00 qps: 74.32 (r/w/o: 0.00/44.33/30.00) lat (ms,95%): 5813.24 err/s: 0.00 reconn/s: 0.00
[ 9s ] thds: 200 tps: 38.35 qps: 257.42 (r/w/o: 0.00/180.73/76.69) lat (ms,95%): 8184.67 err/s: 0.00 reconn/s: 0.00
[ 12s ] thds: 200 tps: 38.32 qps: 222.26 (r/w/o: 0.00/145.62/76.64) lat (ms,95%): 9624.59 err/s: 0.00 reconn/s: 0.00
[ 15s ] thds: 200 tps: 34.67 qps: 219.33 (r/w/o: 0.00/150.00/69.33) lat (ms,95%): 11115.87 err/s: 0.00 reconn/s: 0.00
[ 18s ] thds: 200 tps: 44.00 qps: 247.66 (r/w/o: 0.00/159.66/88.00) lat (ms,95%): 14562.82 err/s: 0.00 reconn/s: 0.00
[ 21s ] thds: 200 tps: 26.34 qps: 177.02 (r/w/o: 0.00/124.35/52.67) lat (ms,95%): 13071.47 err/s: 0.00 reconn/s: 0.00
[ 24s ] thds: 200 tps: 34.66 qps: 208.97 (r/w/o: 0.00/139.65/69.32) lat (ms,95%): 13550.80 err/s: 0.00 reconn/s: 0.00
[ 27s ] thds: 200 tps: 40.67 qps: 231.00 (r/w/o: 0.00/149.67/81.33) lat (ms,95%): 16519.10 err/s: 0.00 reconn/s: 0.00
[ 30s ] thds: 200 tps: 24.33 qps: 160.66 (r/w/o: 0.00/112.00/48.66) lat (ms,95%): 14302.94 err/s: 0.00 reconn/s: 0.00
[ 33s ] thds: 200 tps: 42.33 qps: 237.00 (r/w/o: 0.00/152.34/84.67) lat (ms,95%): 14302.94 err/s: 0.00 reconn/s: 0.00
[ 36s ] thds: 200 tps: 22.34 qps: 144.03 (r/w/o: 0.00/99.35/44.68) lat (ms,95%): 20503.50 err/s: 0.00 reconn/s: 0.00
[ 39s ] thds: 200 tps: 36.33 qps: 223.29 (r/w/o: 0.00/150.64/72.65) lat (ms,95%): 22435.13 err/s: 0.00 reconn/s: 0.00
[ 42s ] thds: 200 tps: 40.67 qps: 237.04 (r/w/o: 0.00/155.70/81.35) lat (ms,95%): 12609.11 err/s: 0.00 reconn/s: 0.00
[ 45s ] thds: 200 tps: 29.34 qps: 190.68 (r/w/o: 0.00/132.01/58.67) lat (ms,95%): 17752.80 err/s: 0.00 reconn/s: 0.00
[ 48s ] thds: 200 tps: 25.99 qps: 134.29 (r/w/o: 0.00/82.31/51.98) lat (ms,95%): 17124.84 err/s: 0.00 reconn/s: 0.00
[ 51s ] thds: 200 tps: 38.68 qps: 226.77 (r/w/o: 0.00/149.40/77.37) lat (ms,95%): 14562.82 err/s: 0.00 reconn/s: 0.00
[ 54s ] thds: 200 tps: 24.99 qps: 174.60 (r/w/o: 0.00/124.62/49.98) lat (ms,95%): 15096.83 err/s: 0.00 reconn/s: 0.00
[ 57s ] thds: 200 tps: 38.00 qps: 211.34 (r/w/o: 0.00/135.67/75.67) lat (ms,95%): 12384.09 err/s: 0.00 reconn/s: 0.00
[ 60s ] thds: 200 tps: 19.67 qps: 126.71 (r/w/o: 0.00/87.03/39.68) lat (ms,95%): 17435.99 err/s: 0.00 reconn/s: 0.00
[ 63s ] thds: 200 tps: 40.32 qps: 224.57 (r/w/o: 0.00/143.94/80.63) lat (ms,95%): 16819.24 err/s: 0.00 reconn/s: 0.00
[ 66s ] thds: 200 tps: 33.00 qps: 198.33 (r/w/o: 0.00/132.33/66.00) lat (ms,95%): 13550.80 err/s: 0.00 reconn/s: 0.00
[ 69s ] thds: 200 tps: 28.00 qps: 186.00 (r/w/o: 0.00/130.00/56.00) lat (ms,95%): 12838.21 err/s: 0.00 reconn/s: 0.00
[ 72s ] thds: 200 tps: 35.68 qps: 213.09 (r/w/o: 0.00/141.72/71.36) lat (ms,95%): 13797.01 err/s: 0.00 reconn/s: 0.00
[ 75s ] thds: 200 tps: 36.65 qps: 197.92 (r/w/o: 0.00/124.62/73.30) lat (ms,95%): 15650.42 err/s: 0.00 reconn/s: 0.00
[ 78s ] thds: 200 tps: 30.67 qps: 200.66 (r/w/o: 0.00/139.33/61.33) lat (ms,95%): 16819.24 err/s: 0.00 reconn/s: 0.00
